ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
7,523,,,,,,,,,,,,,,,
7,497,,,,,,,,,,,,,,,
7,516,,,,,,,,,,,,,,,
7,483.5,,,,,,,,,,,,,,,
7,503,,,,,,,,,,,,,,,
7,481,,,,,,,,,,,,,,,
7,483.5,,,,,,,,,,,,,13.74,8.93,6.17
7,481.5,,,,,,,,,,,,77.6,,5.85,5.51
7,483.5,2.69,33.39,0.85,2015.4,0.418,0.618,3.18,26.24,0.863,0.082,,,,,
7,479,2.59,31.08,0.79,1927.9,0.428,0.622,5.09,26.45,0.743,0.206,,80.1,14.72,9.38,6.14
7,478.5,2.63,31.84,0.82,2020.1,0.408,0.614,,,,,,,,,
7,508,2.55,30.24,0.78,1921,0.422,0.622,4.5,25.64,0.736,,,75.5,12.93,7.24,6.16
7,497,2.48,28.41,0.83,2027.3,0.404,0.592,,,,,,,,,
7,505.5,2.55,29.94,0.87,1996.3,0.38,0.56,5.74,22.97,1.012,0.152,0.121,,,,
7,537.5,2.73,34.95,0.9,2069.6,0.392,0.574,3.53,25.62,0.618,0.183,,75,,7.32,5.96
7,510.5,2.51,28.7,0.82,1830.6,0.414,0.608,3.78,22.02,0.641,0.041,,71.9,,6.66,5.99
7,,2.59,31,0.88,1951.4,0.396,0.584,2.52,27.97,0.956,0.247,0.197,,,,
8,475.5,,,,,,,,,,,,,,,
8,448.5,2.7,34.26,0.8,1895.7,0.458,0.6,3.39,27.22,1.063,0.656,0.638,80,29.99,12.85,11.45
8,497.5,,,,,,,,,,,,,,,
8,461.5,,,,,,,,,,,,,,,
8,554,2.71,34.95,0.88,1996.5,0.432,0.548,3.9,26.82,0.995,0.536,0.652,77.5,30.12,13.69,12.01
8,503.5,,,,,,,,,,,,,,,
8,454.5,2.71,34.73,0.86,1740.2,0.408,0.562,,,,,,,,,
8,490.5,,,,,,,,,,,,,,,
8,541,,,,,,,,,,,,,,,
8,575.5,2.88,39.6,0.86,1655.7,0.454,0.612,,,,,,,,,
8,556,,,,,,,,,,,,,,,
8,522.5,2.7,34.61,0.72,1520.5,0.496,0.68,3.65,26.22,0.988,0.765,0.562,74.5,28.42,14.16,11.36
8,535.5,,,,,,,,,,,,,,,
8,543.5,2.75,36.08,0.8,1484.8,0.454,0.626,3.56,25.96,1.052,0.505,0.478,72,27.73,9.86,10.24
8,531,,,,,,,,,,,,,,,
8,,,,,,,,5.7,21.11,0.908,0.675,0.599,,,,
8,524.5,2.71,34.63,0.83,1549.7,0.444,0.582,4.14,26.47,1.062,0.393,0.309,77.5,28.22,8.28,9.73
8,530.5,,,,,,,,,,,,,,,
8,489.5,2.75,36.22,0.78,1671.4,0.448,0.604,5.11,23.48,1.083,0.251,0.393,73,30.51,10.32,10.7
8,489,,,,,,,,,,,,,,,
8,543,,,,,,,,,,,,,,,
8,532.5,2.73,35.25,0.8,1593.8,0.46,0.628,4.61,23.42,1.195,0.531,0.575,77,32.86,9.86,11.58
8,506,,,,,,,4.69,21.7,1.213,0.363,0.442,77,32.14,9.74,11.24
8,,2.76,36.67,0.73,1216.5,0.486,0.688,,,,,,,,,
8,549,,,,,,,3.53,23.79,0.997,0.513,0.46,81.5,26.23,9.32,10.3
8,,2.71,34.69,0.72,1321,0.47,0.676,,,,,,,,,
8,514,,,,,,,,,,,,80.5,29.19,10.82,11.65
8,,2.73,34.84,0.76,1308.5,0.466,0.65,,,,,,,,,
8,568.5,,,,,,,,,,,,,,,
8,582.5,2.95,41.8,,1573.6,0.386,0.54,3.95,24.57,0.763,0.61,0.179,,,,
8,566.5,,,,,,,,,,,,,,,
8,517.5,2.82,38.44,0.87,1501.6,0.428,0.596,3.78,26.51,0.924,0.555,0.352,70.5,22.47,11.13,8.79
8,535,,,,,,,,,,,,,,,
8,551,2.82,38.22,0.88,1653.3,0.416,0.59,5.88,22,1.071,0.923,0.523,,,,
8,529,,,,,,,,,,,,,,,
8,543.5,2.79,37.25,0.8,1537.3,0.438,0.616,5.41,25.62,0.781,0.476,0.541,,,,
8,519,2.84,38.43,0.85,1581,0.42,0.588,,,,,,,,,
8,501.5,,,,,,,,,,,,72,18.96,7.67,7.3
8,518,2.89,40.01,0.75,1367.9,0.496,0.696,5.44,26.46,0.765,,0.28,,,,
8,528.5,2.82,37.92,0.81,1596.3,0.478,0.66,4.35,28.79,0.809,0.486,0.565,,22.35,10.47,9.35
8,545.5,2.8,37.42,0.76,1685.9,0.502,0.682,,,,,,,,,
8,527,2.77,36.69,0.79,1544,0.446,0.652,5.46,24.64,0.813,0.361,0.371,68.5,20.81,7.44,7.82
8,539.5,2.81,37.44,0.89,1709.3,0.414,0.574,,,,,,,,,
8,508,2.84,38.41,0.89,1741,0.416,0.58,5,24.01,0.809,0.605,0.538,,,,
8,546,2.88,39.56,0.93,1678.7,0.4,0.56,4.43,24.96,0.965,0.481,0.331,71,23.73,8.4,8.05
