ID,rn,vel_m.s,Acceleration,acc.up
#ID33,8.28,,,1.52
#ID33,8.29,,,1.2
#ID33,8.3,5.427777778,-0.085,0.9
#ID33,8.31,,,0.64
#ID33,8.32,,,0.45
#ID33,8.33,,,0.36
#ID33,8.34,,,0.34
#ID33,8.35,,,0.37
#ID33,8.36,,,0.43
#ID33,8.37,,,0.48
#ID33,8.38,,,0.49
#ID33,8.39,,,0.44
#ID33,8.4,5.430555556,-0.074,0.33
#ID33,8.41,,,0.16
#ID33,8.42,,,-0.04
#ID33,8.43,,,-0.23
#ID33,8.44,,,-0.38
#ID33,8.45,,,-0.45
#ID33,8.46,,,-0.4
#ID33,8.47,,,-0.21
#ID33,8.48,,,0.12
#ID33,8.49,,,0.55
#ID33,8.5,5.422222222,-0.062,1.02
#ID33,8.51,,,1.44
#ID33,8.52,,,1.76
#ID33,8.53,,,1.94
#ID33,8.54,,,1.99
#ID33,8.55,,,1.96
#ID33,8.56,,,1.92
#ID33,8.57,,,1.89
#ID33,8.58,,,1.88
#ID33,8.59,,,1.87
#ID33,8.6,5.413888889,-0.053,1.83
#ID33,8.61,,,1.72
#ID33,8.62,,,1.55
#ID33,8.63,,,1.31
#ID33,8.64,,,1.03
#ID33,8.65,,,0.77
#ID33,8.66,,,0.56
#ID33,8.67,,,0.43
#ID33,8.68,,,0.39
#ID33,8.69,,,0.41
#ID33,8.7,5.411111111,-0.05,0.46
#ID33,8.71,,,0.48
